pattern,support,num_edges,edge_keys
59804c2c5feae328bfcf0302,0.0714285746216774,4,"[0, 14, 15, 63]"
59804c675feae328bfcf09ba,0.0714285746216774,5,"[0, 14, 15, 63, 72]"
59804c2c5feae328bfcf02f1,0.3214285671710968,4,"[0, 14, 15, 72]"
59804c2c5feae328bfcf02e8,0.0714285746216774,3,"[0, 14, 16]"
59804c495feae328bfcf05c6,0.0714285746216774,4,"[0, 14, 16, 65]"
59804c675feae328bfcf09e3,0.0714285746216774,5,"[0, 14, 16, 65, 72]"
59804c495feae328bfcf05f4,0.0714285746216774,4,"[0, 14, 16, 72]"
59804c2c5feae328bfcf02b2,0.1785714328289032,3,"[0, 14, 38]"
59804c495feae328bfcf05b4,0.0714285746216774,4,"[0, 14, 38, 63]"
59804c675feae328bfcf09ed,0.0714285746216774,5,"[0, 14, 38, 63, 72]"
59804c2c5feae328bfcf0318,0.1785714328289032,4,"[0, 14, 38, 65]"
59804c665feae328bfcf091c,0.0714285746216774,5,"[0, 14, 38, 65, 67]"
59804c675feae328bfcf0962,0.1785714328289032,5,"[0, 14, 38, 65, 72]"
59804c495feae328bfcf05ba,0.0714285746216774,4,"[0, 14, 38, 67]"
59804c675feae328bfcf0a28,0.0714285746216774,5,"[0, 14, 38, 67, 72]"
59804c495feae328bfcf057b,0.1785714328289032,4,"[0, 14, 38, 72]"
59804c2c5feae328bfcf02e6,0.0714285746216774,3,"[0, 14, 59]"
59804c495feae328bfcf05be,0.0714285746216774,4,"[0, 14, 59, 65]"
59804c675feae328bfcf09d2,0.0714285746216774,5,"[0, 14, 59, 65, 72]"
59804c495feae328bfcf05f3,0.0714285746216774,4,"[0, 14, 59, 72]"
59804c105feae328bfcf0065,0.0714285746216774,3,"[0, 14, 63]"
59804c495feae328bfcf05cd,0.0714285746216774,4,"[0, 14, 63, 72]"
59804c105feae328bfcf00bc,0.3214285671710968,3,"[0, 14, 65]"
59804c2c5feae328bfcf030e,0.0714285746216774,4,"[0, 14, 65, 67]"
59804c675feae328bfcf09c6,0.0714285746216774,5,"[0, 14, 65, 67, 72]"
59804c2c5feae328bfcf02ec,0.3214285671710968,4,"[0, 14, 65, 72]"
59804c105feae328bfcf008a,0.0714285746216774,3,"[0, 14, 67]"
